Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-18T15:56:30.991Z","Included","claude-4.5-sonnet-thinking","No","10114","342","73489","1327","85272","0.08"
"2025-11-18T15:56:10.863Z","Included","claude-4.5-sonnet-thinking","No","35041","139","0","460","35640","0.14"
"2025-11-18T15:46:30.252Z","Included","claude-4.5-sonnet-thinking","No","28889","145","54792","1429","85255","0.15"
"2025-11-18T15:45:30.226Z","Included","claude-4.5-sonnet-thinking","No","48623","4834","86170","1679","141306","0.25"
"2025-11-18T15:36:43.107Z","Included","composer-1","No","5700","0","323424","707","329831","0.09"
"2025-11-18T15:36:29.332Z","Included","composer-1","No","9548","0","147808","332","157688","0.05"
"2025-11-18T15:36:02.950Z","Included","composer-1","No","15831","0","347104","2100","365035","0.11"
"2025-11-18T15:35:30.417Z","Included","composer-1","No","9542","0","318368","1500","329410","0.10"
"2025-11-18T15:34:29.286Z","Included","composer-1","No","4575","0","291168","2256","297999","0.09"
"2025-11-18T15:34:06.675Z","Included","composer-1","No","21072","0","185696","1354","208122","0.07"
"2025-11-18T15:33:04.793Z","Included","composer-1","No","7802","0","209888","1578","219268","0.07"
"2025-11-18T15:32:30.631Z","Included","composer-1","No","15035","0","93568","1208","109811","0.04"
"2025-11-18T15:31:29.539Z","Included","composer-1","No","15323","0","212096","2393","229812","0.08"
"2025-11-18T15:30:40.812Z","Included","composer-1","No","5750","0","54944","640","61334","0.02"
"2025-11-18T15:30:24.242Z","Included","composer-1","No","10396","0","48928","989","60313","0.03"
"2025-11-18T14:58:41.922Z","Errored, Not Charged","composer-1","No","0","205","0","37","242","0.000"
"2025-11-18T14:58:23.117Z","Included","composer-1","No","47497","0","471232","2498","521227","0.18"
"2025-11-18T14:54:39.838Z","Included","composer-1","No","53215","0","423488","2791","479494","0.17"
"2025-11-18T14:53:49.164Z","Included","composer-1","No","53","0","106784","253","107090","0.03"
"2025-11-18T14:52:23.195Z","Included","composer-1","No","101192","0","991392","7123","1099707","0.38"
"2025-11-18T14:50:24.237Z","Included","composer-1","No","2935","0","220288","1200","224423","0.06"
"2025-11-18T14:49:56.260Z","Included","composer-1","No","1382","0","212160","1128","214670","0.06"
"2025-11-18T14:49:28.818Z","Included","composer-1","No","3687","0","335840","1810","341337","0.09"
"2025-11-18T14:48:51.901Z","Included","composer-1","No","10226","0","236000","1859","248085","0.08"
"2025-11-18T14:48:32.574Z","Included","composer-1","No","7728","0","106912","338","114978","0.04"
"2025-11-18T14:47:53.307Z","Included","composer-1","No","3732","0","158208","2068","164008","0.05"
"2025-11-18T14:47:33.570Z","Included","composer-1","No","2686","0","97696","701","101083","0.03"
"2025-11-18T14:47:20.668Z","Included","composer-1","No","2002","0","46560","585","49147","0.02"
"2025-11-18T14:45:32.335Z","Included","composer-1","No","36903","0","420064","6287","463254","0.17"
"2025-11-18T14:39:04.006Z","Included","composer-1","No","1000","0","213920","389","215309","0.06"
"2025-11-18T14:38:28.830Z","Included","composer-1","No","25618","0","288480","716","314814","0.10"
"2025-11-18T14:37:36.792Z","Included","composer-1","No","24455","0","267808","857","293120","0.09"
"2025-11-18T14:35:59.317Z","Included","composer-1","No","80843","0","561984","3341","646168","0.23"
"2025-11-18T14:29:12.493Z","Included","composer-1","No","11411","0","319968","842","332221","0.09"
"2025-11-18T14:28:44.793Z","Errored, Not Charged","composer-1","No","12953","0","357696","1520","372169","0.11"
"2025-11-18T14:27:55.602Z","Included","composer-1","No","15438","0","392032","1784","409254","0.12"
"2025-11-18T14:27:15.034Z","Included","composer-1","No","19807","0","208448","1451","229706","0.08"
"2025-11-18T14:26:50.525Z","Included","composer-1","No","24135","0","97248","533","121916","0.05"
"2025-11-18T14:25:53.262Z","Included","composer-1","No","13391","0","255584","2108","271083","0.09"
"2025-11-18T14:24:56.491Z","Included","composer-1","No","21526","0","96608","2912","121046","0.06"
"2025-11-18T14:19:49.098Z","Included","composer-1","No","30387","0","105440","991","136818","0.06"
"2025-11-18T14:19:27.381Z","Included","composer-1","No","21496","0","172928","3251","197675","0.08"
"2025-11-18T14:13:21.427Z","Included","composer-1","No","63391","0","370144","2231","435766","0.16"
"2025-11-18T14:06:59.138Z","Included","composer-1","No","34822","0","408512","709","444043","0.14"
"2025-11-18T14:05:23.440Z","Included","composer-1","No","27124","0","272096","356","299576","0.10"
"2025-11-18T14:04:00.627Z","Included","composer-1","No","16222","0","252544","364","269130","0.08"
"2025-11-18T14:02:06.709Z","Included","composer-1","No","2910","0","386624","2240","391774","0.11"
"2025-11-18T14:01:46.787Z","Included","composer-1","No","17401","0","280288","1227","298916","0.09"
"2025-11-18T14:00:25.869Z","Included","composer-1","No","34369","0","276000","1751","312120","0.11"
"2025-11-18T13:58:29.921Z","Included","composer-1","No","20346","0","264704","1958","287008","0.09"
"2025-11-18T13:57:14.485Z","Included","composer-1","No","23075","0","96928","2357","122360","0.06"
"2025-11-18T13:55:01.533Z","Included","composer-1","No","18759","0","200384","2879","222022","0.08"
"2025-11-18T13:53:48.799Z","Included","composer-1","No","10028","0","95200","1235","106463","0.04"
"2025-11-18T13:53:19.605Z","Included","gpt-5.1-codex","No","0","0","0","0","0","0.00"
"2025-11-18T13:50:30.462Z","Included","gpt-5.1-codex","No","0","4029","299392","4183","307604","0.08"
"2025-11-18T13:50:21.066Z","Included","gpt-5.1-codex","No","0","316","34944","101","35361","0.01"
"2025-11-18T13:50:00.461Z","Included","gpt-5.1-codex","No","0","342","34688","143","35173","0.01"
"2025-11-18T13:49:42.827Z","Included","gpt-5.1-codex","No","0","328","34432","188","34948","0.01"
"2025-11-18T13:49:07.412Z","Included","gpt-5.1-codex","No","0","371","34176","155","34702","0.01"
"2025-11-18T13:48:50.086Z","Included","gpt-5.1-codex","No","0","294","34048","125","34467","0.01"
"2025-11-18T13:48:28.226Z","Included","gpt-5.1-codex","No","0","13933","20224","98","34255","0.02"
"2025-11-18T13:45:58.130Z","Included","gpt-5.1-codex","No","0","44887","552064","3771","600722","0.16"
"2025-11-18T13:45:29.617Z","Included","gpt-5.1-codex","No","0","10567","9216","170","19953","0.02"
"2025-11-18T13:43:46.918Z","Included","gpt-5.1-codex","No","0","1018","9344","200","10562","0.004"
"2025-11-18T13:43:24.413Z","Included","gpt-5.1-codex","No","0","4068","15104","691","19863","0.01"
"2025-11-18T13:43:05.820Z","Included","gpt-5.1-codex","No","0","3250","14080","393","17723","0.01"
"2025-11-18T13:41:40.064Z","Included","claude-4.5-sonnet-thinking","No","14072","10761","327496","1644","353973","0.21"
"2025-11-18T13:39:58.592Z","Errored, Not Charged","claude-4.5-sonnet-thinking","No","1991","543","72843","513","75890","0.04"
"2025-11-18T13:39:21.714Z","Included","claude-4.5-sonnet-thinking","No","6175","559","289552","1017","297303","0.13"
"2025-11-18T13:38:27.730Z","Included","claude-4.5-sonnet-thinking","No","6567","703","280278","1858","289406","0.14"
"2025-11-18T13:36:21.663Z","Included","claude-4.5-sonnet-thinking","No","16266","568","188636","1022","206492","0.13"
"2025-11-18T13:35:22.899Z","Included","claude-4.5-sonnet-thinking","No","15675","10938","366224","2068","394905","0.23"
"2025-11-18T13:33:27.926Z","Included","claude-4.5-sonnet-thinking","No","5256","508","98638","816","105218","0.06"
"2025-11-18T13:31:11.810Z","Included","claude-4.5-sonnet-thinking","No","16814","486","334366","2385","354051","0.20"
"2025-11-18T13:29:23.275Z","Included","claude-4.5-sonnet-thinking","No","14955","11049","115712","1663","143379","0.15"
"2025-11-18T13:28:52.663Z","Included","claude-4.5-sonnet-thinking","No","18727","600","84830","992","105149","0.11"
"2025-11-18T13:27:01.065Z","Included","claude-4.5-sonnet-thinking","No","23057","10960","153648","2722","190387","0.21"
"2025-11-18T13:25:43.952Z","Included","claude-4.5-sonnet-thinking","No","16835","490","1028767","4882","1050974","0.45"
"2025-11-18T13:24:51.093Z","Included","claude-4.5-sonnet-thinking","No","70337","4883","87094","864","163178","0.32"
"2025-11-18T13:24:21.721Z","Included","claude-4.5-sonnet-thinking","No","64836","12","11436","430","76714","0.25"
"2025-11-18T13:22:26.088Z","Included","claude-4.5-sonnet-thinking","No","21193","9817","814036","3416","848462","0.40"
"2025-11-18T13:22:04.413Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T13:20:22.293Z","Included","claude-4.5-sonnet-thinking","No","12869","9504","194235","2135","218743","0.17"
"2025-11-18T13:19:22.722Z","Included","claude-4.5-sonnet-thinking","No","4166","112","38729","606","43613","0.04"
"2025-11-18T13:18:21.121Z","Included","claude-4.5-sonnet-thinking","No","15041","149","108099","1990","125279","0.12"
"2025-11-18T13:17:42.452Z","Included","claude-4.5-sonnet-thinking","No","16559","9565","11436","553","38113","0.10"
"2025-11-18T13:14:46.686Z","Included","claude-4.5-sonnet-thinking","No","19625","9339","158320","2626","189910","0.19"
"2025-11-18T13:00:28.287Z","Errored, Not Charged","claude-4.5-sonnet-thinking","No","45232","2623","1115145","6931","1169931","0.61"
"2025-11-18T12:57:22.354Z","Included","claude-4.5-sonnet-thinking","No","42398","3240","294894","4131","344663","0.32"
"2025-11-18T12:01:20.543Z","Included","claude-4.5-sonnet-thinking","No","1298","4088","24827","639","30852","0.03"
"2025-11-18T11:59:29.372Z","Included","claude-4.5-sonnet-thinking","No","2232","62","74438","774","77506","0.04"
"2025-11-18T11:58:35.719Z","Included","claude-4.5-sonnet-thinking","No","6252","147","42412","620","49431","0.05"
"2025-11-18T11:58:13.103Z","Included","claude-4.5-sonnet-thinking","No","2733","139","36492","476","39840","0.03"
"2025-11-18T11:57:41.379Z","Included","claude-4.5-sonnet-thinking","No","3603","124","14436","535","18698","0.03"
"2025-11-18T11:56:39.268Z","Included","claude-4.5-sonnet-thinking","No","20370","606","96130","1210","118316","0.13"
"2025-11-18T11:55:47.217Z","Included","claude-4.5-sonnet-thinking","No","2981","3026","89769","1119","96895","0.06"
"2025-11-18T11:55:17.735Z","Included","claude-4.5-sonnet-thinking","No","8876","134","173441","1743","184194","0.11"
"2025-11-18T11:54:36.539Z","Included","claude-4.5-sonnet-thinking","No","6180","2451","77492","1831","87954","0.08"
"2025-11-18T11:53:48.168Z","Included","claude-4.5-sonnet-thinking","No","13393","2260","145031","2006","162690","0.13"
"2025-11-18T11:47:17.036Z","Included","claude-4.5-sonnet-thinking","No","77803","3913","216085","2210","300011","0.40"
"2025-11-18T11:37:30.727Z","Included","claude-4.5-sonnet-thinking","No","55705","178","270497","2397","328777","0.33"
"2025-11-18T11:35:51.993Z","Included","claude-4.5-sonnet-thinking","No","48216","625","242207","3154","294202","0.30"
"2025-11-18T11:33:05.717Z","Included","claude-4.5-sonnet-thinking","No","12949","2073","353673","2791","371486","0.20"
"2025-11-18T11:31:44.179Z","Included","claude-4.5-sonnet-thinking","No","5947","596","217363","1700","225606","0.11"
"2025-11-18T11:31:27.592Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T11:29:18.430Z","Included","claude-4.5-sonnet-thinking","No","8308","2168","104072","1440","115988","0.09"
"2025-11-18T11:27:53.172Z","Included","claude-4.5-sonnet-thinking","No","22060","1537","44010","1563","69170","0.12"
"2025-11-18T11:25:15.624Z","Included","claude-4.5-sonnet-thinking","No","8716","96","167984","3275","180071","0.13"
"2025-11-18T11:24:39.435Z","Included","claude-4.5-sonnet-thinking","No","9790","1441","67120","1499","79850","0.08"
"2025-11-18T11:20:32.346Z","Included","claude-4.5-sonnet-thinking","No","11137","1672","29512","1485","43806","0.08"
"2025-11-18T11:18:50.423Z","Included","claude-4.5-sonnet-thinking","No","141097","1430","278929","627","422083","0.63"
"2025-11-18T11:18:12.656Z","Included","claude-4.5-sonnet-thinking","No","6056","1098","404661","1530","413345","0.17"
"2025-11-18T11:17:47.936Z","Included","claude-4.5-sonnet-thinking","No","1061","2015","131685","235","134996","0.05"
"2025-11-18T11:14:57.006Z","Included","claude-4.5-sonnet-thinking","No","19705","174","244754","1021","265654","0.16"
"2025-11-18T11:13:58.144Z","Included","claude-4.5-sonnet-thinking","No","2285","18360","110784","574","132003","0.11"
"2025-11-18T11:11:14.695Z","Included","claude-4.5-sonnet-thinking","No","19343","161","316463","1263","337230","0.19"
"2025-11-18T11:10:50.897Z","Included","claude-4.5-sonnet-thinking","No","24564","17020","69014","520","111118","0.17"
"2025-11-18T11:07:19.738Z","Included","claude-4.5-sonnet-thinking","No","93843","175","429106","2774","525898","0.52"
"2025-11-18T11:06:28.993Z","Included","claude-4.5-sonnet-thinking","No","8981","122","248041","1654","258798","0.13"
"2025-11-18T11:05:52.712Z","Included","claude-4.5-sonnet-thinking","No","877","479","59376","977","61709","0.04"
"2025-11-18T11:04:57.241Z","Included","claude-4.5-sonnet-thinking","No","2649","466","56727","983","60825","0.04"
"2025-11-18T11:04:05.063Z","Included","claude-4.5-sonnet-thinking","No","2927","483","112483","2137","118030","0.08"
"2025-11-18T11:03:22.510Z","Included","claude-4.5-sonnet-thinking","No","759","113","54997","808","56677","0.03"
"2025-11-18T11:02:29.359Z","Included","claude-4.5-sonnet-thinking","No","3523","468","51474","1296","56761","0.05"
"2025-11-18T11:00:03.433Z","Included","claude-4.5-sonnet-thinking","No","7580","1528","152468","784","162360","0.09"
"2025-11-18T10:59:24.545Z","Included","claude-4.5-sonnet-thinking","No","4313","137","242108","1985","248543","0.12"
"2025-11-18T10:58:55.232Z","Included","claude-4.5-sonnet-thinking","No","373","124","46561","817","47875","0.03"
"2025-11-18T10:58:34.326Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T10:57:48.621Z","Included","claude-4.5-sonnet-thinking","No","974","1481","43807","709","46971","0.03"
"2025-11-18T10:56:40.420Z","Included","claude-4.5-sonnet-thinking","No","2611","133","130622","1220","134586","0.07"
"2025-11-18T10:56:05.304Z","Included","claude-4.5-sonnet-thinking","No","0","1187","42323","633","44143","0.03"
"2025-11-18T10:55:51.949Z","Aborted, Not Charged","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T10:55:32.235Z","Included","claude-4.5-sonnet-thinking","No","4452","437","37054","852","42795","0.04"
"2025-11-18T10:53:31.160Z","Included","claude-4.5-sonnet-thinking","No","10690","479","67661","846","79676","0.07"
"2025-11-18T10:50:55.483Z","Included","claude-4.5-sonnet-thinking","No","10693","1870","91376","1625","105564","0.10"
"2025-11-18T10:49:57.706Z","Included","claude-4.5-sonnet-thinking","No","4781","159","227173","1873","233986","0.11"
"2025-11-18T10:49:43.731Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T10:49:25.513Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T10:49:00.430Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T10:47:28.614Z","Included","claude-4.5-sonnet-thinking","No","27511","704","187066","3711","218992","0.22"
"2025-11-18T10:45:46.936Z","Included","gemini-2.5-pro","No","0","4496","93905","215","98616","0.02"
"2025-11-18T10:45:10.694Z","Included","gemini-2.5-pro","No","0","2598","93828","626","97052","0.02"
"2025-11-18T10:44:42.094Z","Included","gemini-2.5-pro","No","0","1787","93800","530","96117","0.02"
"2025-11-18T10:44:15.131Z","Included","gemini-2.5-pro","No","0","984","93798","332","95114","0.02"
"2025-11-18T10:43:51.485Z","Included","gemini-2.5-pro","No","0","0","0","0","0","0.00"
"2025-11-18T10:43:08.865Z","Included","gemini-2.5-pro","No","0","31479","62514","516","94509","0.05"
"2025-11-18T10:41:42.445Z","Included","gemini-2.5-pro","No","0","36242","123244","1163","160649","0.07"
"2025-11-18T10:41:06.736Z","Included","gemini-2.5-pro","No","0","6899","57423","517","64839","0.02"
"2025-11-18T10:37:22.873Z","Included","gemini-2.5-pro","No","0","83535","37470","923","121928","0.12"
"2025-11-18T10:34:55.917Z","Included","gemini-2.5-pro","No","0","18574","94603","891","114068","0.04"
"2025-11-18T10:33:54.773Z","Included","gemini-2.5-pro","No","0","21227","74993","998","97218","0.05"
"2025-11-18T10:30:50.993Z","Included","gemini-2.5-pro","No","0","40153","0","869","41022","0.06"
"2025-11-18T10:29:28.848Z","Included","gemini-2.5-pro","No","0","38416","0","526","38942","0.05"
"2025-11-18T10:14:58.715Z","Included","gemini-2.5-pro","No","0","13608","100184","786","114578","0.04"
"2025-11-18T10:14:01.075Z","Included","gemini-2.5-pro","No","0","7539","62075","482","70096","0.02"
"2025-11-18T10:13:06.885Z","Included","gemini-2.5-pro","No","0","16149","50508","1153","67810","0.04"
"2025-11-18T10:11:53.104Z","Included","gemini-2.5-pro","No","0","4429","25401","147","29977","0.01"
"2025-11-18T10:10:57.911Z","Included","gemini-2.5-pro","No","0","2835","25250","737","28822","0.01"
"2025-11-18T10:10:32.667Z","Included","gemini-2.5-pro","No","0","0","0","0","0","0.00"
"2025-11-18T10:08:37.161Z","Included","gemini-2.5-pro","No","0","20943","79392","1437","101772","0.05"
"2025-11-18T10:07:11.189Z","Included","gemini-2.5-pro","No","0","3345","17531","642","21518","0.01"
"2025-11-18T10:02:14.211Z","Included","gemini-2.5-pro","No","0","8581","51905","296","60782","0.02"
"2025-11-18T09:58:41.166Z","Included","gemini-2.5-pro","No","0","8654","48185","737","57576","0.02"
"2025-11-18T09:57:00.666Z","Included","gemini-2.5-pro","No","0","6683","10286","353","17322","0.01"
"2025-11-18T09:55:48.205Z","Included","gemini-2.5-pro","No","0","9890","44626","209","54725","0.02"
"2025-11-18T09:52:27.611Z","Included","gemini-2.5-pro","No","0","1401","53054","140","54595","0.01"
"2025-11-18T09:52:03.843Z","Included","gemini-2.5-pro","No","0","4378","49237","155","53770","0.01"
"2025-11-18T09:51:35.212Z","Included","gemini-2.5-pro","No","0","3560","49209","199","52968","0.01"
"2025-11-18T09:49:44.845Z","Included","gemini-2.5-pro","No","0","2659","49148","550","52357","0.01"
"2025-11-18T09:47:48.879Z","Included","gemini-2.5-pro","No","0","5055","45338","190","50583","0.01"
"2025-11-18T09:46:57.932Z","Included","gemini-2.5-pro","No","0","4317","45291","371","49979","0.01"
"2025-11-18T09:45:46.374Z","Included","gemini-2.5-pro","No","0","3441","45231","513","49185","0.02"
"2025-11-18T09:44:15.711Z","Included","gemini-2.5-pro","No","0","6485","41438","258","48181","0.02"
"2025-11-18T09:43:42.930Z","Included","gemini-2.5-pro","No","0","11149","127235","754","139138","0.04"
"2025-11-18T09:42:19.568Z","Included","gemini-2.5-pro","No","0","1526","41101","595","43222","0.01"
"2025-11-18T09:40:48.381Z","Included","gemini-2.5-pro","No","0","27067","14929","236","42232","0.04"
"2025-11-18T09:39:56.029Z","Included","gemini-2.5-pro","No","0","4140","37309","207","41656","0.01"
"2025-11-18T09:38:53.741Z","Included","gemini-2.5-pro","No","0","7593","73897","586","82076","0.02"
"2025-11-18T09:38:48.791Z","Errored, Not Charged","gemini-2.5-pro","No","0","0","0","0","0","0.00"
"2025-11-18T09:37:32.373Z","Included","gemini-2.5-pro","No","0","0","0","0","0","0.00"
"2025-11-18T09:36:41.683Z","Included","gemini-2.5-pro","No","0","5168","33425","521","39114","0.02"
"2025-11-18T09:35:13.440Z","Included","gemini-2.5-pro","No","0","74186","33166","789","108141","0.10"
"2025-11-18T09:30:06.422Z","Included","gemini-2.5-pro","No","0","4369","29493","610","34472","0.02"
"2025-11-18T09:28:55.659Z","Included","gemini-2.5-pro","No","0","3533","29420","304","33257","0.01"
"2025-11-18T09:28:43.647Z","Included","gemini-2.5-pro","No","0","0","0","0","0","0.00"
"2025-11-18T09:28:00.004Z","Included","gemini-2.5-pro","No","0","3040","29379","415","32834","0.01"
"2025-11-18T09:26:33.293Z","Included","gemini-2.5-pro","No","0","2487","29330","485","32302","0.01"
"2025-11-18T09:25:26.081Z","Included","gemini-2.5-pro","No","0","1988","29285","406","31679","0.01"
"2025-11-18T09:24:38.639Z","Included","gemini-2.5-pro","No","0","1109","29194","839","31142","0.01"
"2025-11-18T09:24:20.382Z","Included","gemini-2.5-pro","No","0","0","0","0","0","0.00"
"2025-11-18T09:23:21.589Z","Included","gemini-2.5-pro","No","0","4141","25489","523","30153","0.01"
"2025-11-18T09:22:49.455Z","Included","gemini-2.5-pro","No","0","3523","25431","560","29514","0.01"
"2025-11-18T09:21:57.554Z","Included","gemini-2.5-pro","No","0","6211","21715","423","28349","0.01"
"2025-11-18T09:20:03.591Z","Included","gemini-2.5-pro","No","0","5128","21610","496","27234","0.01"
"2025-11-18T09:18:21.449Z","Included","gemini-2.5-pro","No","0","7990","42532","491","51013","0.02"
"2025-11-18T09:18:10.800Z","Included","gemini-2.5-pro","No","0","2393","21302","212","23907","0.01"
"2025-11-18T09:17:24.396Z","Included","gemini-2.5-pro","No","0","8139","38747","347","47233","0.02"
"2025-11-18T09:15:02.874Z","Included","gemini-2.5-pro","No","0","5823","13879","422","20124","0.01"
"2025-11-18T09:11:13.648Z","Included","gemini-2.5-pro","No","0","25392","73807","507","99706","0.05"
"2025-11-18T09:10:34.783Z","Included","composer-1","No","6036","0","342144","1377","349557","0.10"
"2025-11-18T09:09:16.923Z","Included","composer-1","No","3932","0","667744","2937","674613","0.18"
"2025-11-18T09:08:50.563Z","Included","composer-1","No","5882","0","310848","1532","318262","0.09"
"2025-11-18T09:08:12.312Z","Included","composer-1","No","39808","0","251296","1205","292309","0.11"
"2025-11-18T09:03:45.491Z","Included","composer-1","No","42086","0","1031104","8343","1081533","0.33"
"2025-11-18T09:02:54.262Z","Included","composer-1","No","44455","0","195616","2193","242264","0.10"
"2025-11-18T08:58:28.686Z","Included","composer-1","No","21162","0","17728","1004","39894","0.03"
"2025-11-18T08:58:03.301Z","Included","composer-1","No","28576","0","120320","1481","150377","0.06"
"2025-11-18T08:46:59.263Z","Included","composer-1","No","17173","0","102880","1385","121438","0.05"
"2025-11-18T08:46:14.088Z","Included","composer-1","No","14278","0","65888","1286","81452","0.04"
"2025-11-18T08:43:28.489Z","Included","composer-1","No","15691","0","37504","692","53887","0.03"
